ticket_id,customer_id,department,issue_type,priority,agent,channel,created_at,sla_due_at,closed_at,status,resolution_hours,previous_contacts,customer_message,customer_rating
TKT-00015,CUST-1158,Billing,Account Verification,Low,Ethan,Web Form,2025-04-20,2025-04-23 00:00:00,2025-04-23 15:00:00,Closed,87.0,2,Please help me understand what happened.,4
TKT-00016,CUST-1871,Technical Support,Subscription Cancellation,Low,Ava,Email,2025-06-10,2025-06-13 00:00:00,2025-06-11 15:00:00,Escalated,39.0,1,Thank you for the update.,4
TKT-00017,CUST-1209,Technical Support,Login Issue,Medium,Liam,Web Form,2025-03-03,2025-03-05 00:00:00,2025-03-05 14:00:00,Closed,62.0,1,I am having an issue and need assistance.,4
TKT-00018,CUST-1135,Shipping,Account Verification,Medium,Mia,Phone,2025-08-23,2025-08-25 00:00:00,2025-08-24 20:00:00,Escalated,44.0,5,The support team has been helpful so far.,5
TKT-00019,CUST-1954,Shipping,Login Issue,High,David,Phone,2025-03-22,2025-03-23 00:00:00,2025-03-24 01:00:00,Closed,49.0,5,I need help with my account.,4
TKT-00020,CUST-1094,Billing,Late Delivery,Medium,Noah,Chat,2025-05-20,2025-05-22 00:00:00,2025-05-21 20:00:00,Closed,44.0,3,I am having an issue and need assistance.,3
TKT-00021,CUST-1558,Account Management,Subscription Cancellation,Low,David,Chat,2025-11-23,2025-11-26 00:00:00,2025-11-24 21:00:00,Closed,45.0,0,Thanks for helping me with this issue.,4
TKT-00022,CUST-1997,Billing,Bug Report,Medium,Mia,Web Form,2025-03-07,2025-03-09 00:00:00,2025-03-11 02:00:00,Closed,98.0,0,Thank you for the update.,5
TKT-00023,CUST-1163,Product Support,Late Delivery,High,Liam,Chat,2025-04-01,2025-04-02 00:00:00,,Open,,0,Can you check the status of my request?,4
TKT-00024,CUST-1359,Billing,Payment Failure,High,Ethan,Chat,2025-04-13,2025-04-14 00:00:00,2025-04-14 10:00:00,Closed,34.0,0,I need help with my account.,4
TKT-00025,CUST-1620,Product Support,Payment Failure,Medium,David,Email,2025-03-01,2025-03-03 00:00:00,2025-03-02 06:00:00,Closed,30.0,1,I am having an issue and need assistance.,4
TKT-00026,CUST-1441,Product Support,Login Issue,Medium,Liam,Phone,2025-01-23,2025-01-25 00:00:00,2025-01-23 08:00:00,Closed,8.0,4,This is very frustrating and I need this fixed immediately.,2
TKT-00027,CUST-1630,Billing,Bug Report,Medium,Noah,Phone,2025-09-17,2025-09-19 00:00:00,2025-09-21 07:00:00,Closed,103.0,0,Please help me understand what happened.,3
TKT-00028,CUST-1674,Product Support,Subscription Cancellation,Medium,Ava,Phone,2025-05-27,2025-05-29 00:00:00,2025-05-29 15:00:00,Closed,63.0,0,Please help me understand what happened.,3
TKT-00029,CUST-1424,Billing,Subscription Cancellation,Medium,David,Email,2025-05-01,2025-05-03 00:00:00,2025-05-02 20:00:00,Closed,44.0,0,I need help with my account.,4
TKT-00030,CUST-1180,Product Support,Account Verification,High,Sarah,Web Form,2025-07-24,2025-07-25 00:00:00,,Open,,2,The issue was handled well.,4
TKT-00031,CUST-1834,Product Support,Product Question,Low,Liam,Email,2025-08-22,2025-08-25 00:00:00,2025-08-23 05:00:00,Escalated,29.0,1,This issue is affecting my work and I am unhappy.,3
TKT-00032,CUST-1244,Product Support,Payment Failure,High,Ethan,Chat,2025-09-01,2025-09-02 00:00:00,,Open,,0,This issue is affecting my work and I am unhappy.,3
TKT-00033,CUST-1424,Shipping,Product Question,Low,Priya,Chat,2025-05-20,2025-05-23 00:00:00,2025-05-22 06:00:00,Closed,54.0,0,Can you check the status of my request?,3
TKT-00034,CUST-1771,Account Management,Bug Report,Medium,Sarah,Email,2025-04-16,2025-04-18 00:00:00,,Open,,1,I am having an issue and need assistance.,4
TKT-00035,CUST-1941,Account Management,Payment Failure,Medium,Liam,Web Form,2025-04-23,2025-04-25 00:00:00,2025-04-25 15:00:00,Closed,63.0,1,This is very frustrating and I need this fixed immediately.,2
TKT-00036,CUST-1284,Technical Support,Refund Delay,High,Ava,Email,2025-11-26,2025-11-27 00:00:00,2025-11-29 05:00:00,Closed,77.0,0,I am having an issue and need assistance.,4
TKT-00037,CUST-1859,Account Management,Subscription Cancellation,High,Ethan,Email,2025-10-04,2025-10-05 00:00:00,,Open,,1,This is very frustrating and I need this fixed immediately.,1
TKT-00038,CUST-1987,Billing,Late Delivery,Low,Ethan,Email,2025-10-16,2025-10-19 00:00:00,2025-10-18 06:00:00,Closed,54.0,1,I have contacted support multiple times and nobody has helped me.,1
TKT-00039,CUST-1815,Shipping,Login Issue,Medium,Priya,Web Form,2025-07-23,2025-07-25 00:00:00,2025-07-23 17:00:00,Closed,17.0,2,I want to cancel if this is not resolved today.,1
TKT-00040,CUST-1445,Product Support,Refund Delay,Medium,Sarah,Phone,2025-02-05,2025-02-07 00:00:00,2025-02-08 13:00:00,Closed,85.0,0,Please help me understand what happened.,3
TKT-00041,CUST-1684,Technical Support,Subscription Cancellation,Medium,Ethan,Web Form,2025-08-12,2025-08-14 00:00:00,2025-08-14 00:00:00,Closed,48.0,1,I want to cancel if this is not resolved today.,3
TKT-00042,CUST-1529,Account Management,Bug Report,Low,David,Chat,2025-09-07,2025-09-10 00:00:00,2025-09-09 09:00:00,Closed,57.0,1,I want to cancel if this is not resolved today.,1
TKT-00043,CUST-1679,Technical Support,Login Issue,Low,Sarah,Web Form,2025-10-12,2025-10-15 00:00:00,,Open,,0,Can you check the status of my request?,4
TKT-00044,CUST-1760,Product Support,Bug Report,Medium,David,Web Form,2025-10-09,2025-10-11 00:00:00,2025-10-11 21:00:00,Closed,69.0,0,I am tired of waiting for a response.,1
TKT-00045,CUST-1280,Product Support,Late Delivery,Low,Ethan,Phone,2025-10-29,2025-11-01 00:00:00,2025-11-01 07:00:00,Closed,79.0,0,I would like an update on my ticket.,3
TKT-00046,CUST-1841,Billing,Refund Delay,Medium,Mia,Web Form,2025-02-22,2025-02-24 00:00:00,2025-02-25 08:00:00,Closed,80.0,0,This issue is affecting my work and I am unhappy.,1
TKT-00047,CUST-1794,Billing,Payment Failure,Medium,Ava,Chat,2025-03-18,2025-03-20 00:00:00,2025-03-20 05:00:00,Closed,53.0,0,I would like an update on my ticket.,3
TKT-00048,CUST-1216,Product Support,Payment Failure,Medium,Ethan,Phone,2025-10-29,2025-10-31 00:00:00,2025-10-30 23:00:00,Closed,47.0,2,This is very frustrating and I need this fixed immediately.,3
TKT-00049,CUST-1703,Shipping,Login Issue,Low,Mia,Email,2025-03-22,2025-03-25 00:00:00,2025-03-22 12:00:00,Closed,12.0,0,This issue is affecting my work and I am unhappy.,1
TKT-00050,CUST-1449,Technical Support,Subscription Cancellation,High,Liam,Web Form,2025-02-28,2025-03-01 00:00:00,,Open,,0,I appreciate the quick response.,5
TKT-00051,CUST-1093,Billing,Product Question,Medium,Sarah,Phone,2025-09-14,2025-09-16 00:00:00,2025-09-17 22:00:00,Closed,94.0,0,I am having an issue and need assistance.,3
TKT-00052,CUST-1356,Technical Support,Refund Delay,Critical,Priya,Email,2025-03-31,2025-03-31 08:00:00,2025-04-02 07:00:00,Escalated,55.0,0,I have contacted support multiple times and nobody has helped me.,2
TKT-00053,CUST-1118,Account Management,Bug Report,Medium,Noah,Chat,2025-06-18,2025-06-20 00:00:00,,Open,,0,I appreciate the quick response.,5
TKT-00054,CUST-1448,Account Management,Refund Delay,Medium,Ethan,Web Form,2025-01-28,2025-01-30 00:00:00,2025-02-01 06:00:00,Closed,102.0,0,Can you check the status of my request?,4
TKT-00055,CUST-1663,Account Management,Login Issue,Low,Liam,Chat,2025-06-09,2025-06-12 00:00:00,2025-06-12 10:00:00,Closed,82.0,5,This issue is affecting my work and I am unhappy.,1
TKT-00056,CUST-1282,Technical Support,Product Question,Critical,Priya,Phone,2025-08-01,2025-08-01 08:00:00,2025-08-03 04:00:00,Closed,52.0,0,Can you check the status of my request?,3
TKT-00057,CUST-1466,Account Management,Bug Report,Critical,Priya,Email,2025-05-25,2025-05-25 08:00:00,2025-05-26 09:00:00,Closed,33.0,0,I would like an update on my ticket.,4
TKT-00058,CUST-1987,Shipping,Account Verification,Critical,Liam,Web Form,2025-04-30,2025-04-30 08:00:00,2025-05-02 14:00:00,Escalated,62.0,0,This is very frustrating and I need this fixed immediately.,2
TKT-00059,CUST-1346,Billing,Late Delivery,Medium,David,Email,2025-08-14,2025-08-16 00:00:00,2025-08-17 11:00:00,Closed,83.0,1,The issue was handled well.,5
TKT-00060,CUST-1444,Product Support,Payment Failure,Medium,David,Web Form,2025-06-12,2025-06-14 00:00:00,2025-06-15 05:00:00,Closed,77.0,1,Can you check the status of my request?,3
TKT-00061,CUST-1179,Billing,Login Issue,Medium,Priya,Email,2025-01-24,2025-01-26 00:00:00,2025-01-25 06:00:00,Closed,30.0,0,Can you check the status of my request?,3
TKT-00062,CUST-1559,Billing,Payment Failure,Medium,Liam,Web Form,2025-10-26,2025-10-28 00:00:00,2025-10-28 07:00:00,Closed,55.0,0,I am tired of waiting for a response.,3
TKT-00063,CUST-1588,Technical Support,Login Issue,Medium,David,Phone,2025-11-24,2025-11-26 00:00:00,2025-11-26 02:00:00,Escalated,50.0,3,The issue was handled well.,5
TKT-00064,CUST-1821,Shipping,Subscription Cancellation,Low,Sarah,Phone,2025-01-05,2025-01-08 00:00:00,,Open,,3,This is very frustrating and I need this fixed immediately.,3
TKT-00065,CUST-1765,Shipping,Account Verification,Medium,Priya,Chat,2025-11-18,2025-11-20 00:00:00,2025-11-18 22:00:00,Closed,22.0,2,I appreciate the quick response.,5
TKT-00066,CUST-1772,Account Management,Late Delivery,Low,David,Phone,2025-03-26,2025-03-29 00:00:00,,Open,,0,Thanks for helping me with this issue.,4
TKT-00067,CUST-1110,Technical Support,Payment Failure,Critical,David,Email,2025-07-22,2025-07-22 08:00:00,2025-07-23 03:00:00,Closed,27.0,2,Please help me understand what happened.,4
TKT-00068,CUST-1118,Technical Support,Product Question,Low,David,Chat,2025-11-28,2025-12-01 00:00:00,2025-11-29 20:00:00,Closed,44.0,0,I am tired of waiting for a response.,2
TKT-00069,CUST-1706,Billing,Account Verification,High,Mia,Web Form,2025-08-21,2025-08-22 00:00:00,2025-08-24 11:00:00,Closed,83.0,2,I am having an issue and need assistance.,3
TKT-00070,CUST-1678,Shipping,Account Verification,Medium,Liam,Phone,2025-02-20,2025-02-22 00:00:00,2025-02-23 14:00:00,Closed,86.0,0,The issue was handled well.,4
TKT-00071,CUST-1283,Technical Support,Refund Delay,Low,David,Chat,2025-03-06,2025-03-09 00:00:00,,Open,,0,I want to cancel if this is not resolved today.,1
TKT-00072,CUST-1538,Technical Support,Late Delivery,Medium,Mia,Email,2025-12-05,2025-12-07 00:00:00,2025-12-06 11:00:00,Closed,35.0,0,Can you check the status of my request?,4
TKT-00073,CUST-1436,Billing,Login Issue,Medium,David,Email,2025-08-20,2025-08-22 00:00:00,2025-08-22 08:00:00,Closed,56.0,1,The issue was handled well.,5
TKT-00074,CUST-1543,Billing,Product Question,High,Ethan,Email,2025-02-11,2025-02-12 00:00:00,2025-02-11 20:00:00,Closed,20.0,1,This issue is affecting my work and I am unhappy.,3
TKT-00075,CUST-1425,Shipping,Product Question,Medium,Sarah,Email,2025-12-26,2025-12-28 00:00:00,2025-12-29 06:00:00,Closed,78.0,3,Please help me understand what happened.,4
TKT-00076,CUST-1600,Billing,Bug Report,Medium,Priya,Phone,2025-03-20,2025-03-22 00:00:00,2025-03-21 19:00:00,Closed,43.0,2,I want to cancel if this is not resolved today.,1
TKT-00077,CUST-1867,Product Support,Bug Report,Medium,Sarah,Phone,2025-12-07,2025-12-09 00:00:00,2025-12-08 09:00:00,Closed,33.0,1,The issue was handled well.,4
TKT-00078,CUST-1623,Billing,Bug Report,High,David,Email,2025-05-23,2025-05-24 00:00:00,2025-05-27 15:00:00,Escalated,111.0,2,I would like an update on my ticket.,3
TKT-00079,CUST-1764,Shipping,Refund Delay,Low,Priya,Phone,2025-06-29,2025-07-02 00:00:00,2025-06-30 14:00:00,Closed,38.0,0,I have contacted support multiple times and nobody has helped me.,1
TKT-00080,CUST-1772,Product Support,Account Verification,Medium,Ethan,Phone,2025-03-22,2025-03-24 00:00:00,2025-03-25 07:00:00,Escalated,79.0,1,This is very frustrating and I need this fixed immediately.,1
TKT-00081,CUST-1290,Product Support,Refund Delay,Medium,Priya,Web Form,2025-12-05,2025-12-07 00:00:00,2025-12-08 19:00:00,Closed,91.0,2,The issue was handled well.,4
TKT-00082,CUST-1335,Product Support,Product Question,Medium,Priya,Email,2025-04-23,2025-04-25 00:00:00,2025-04-23 15:00:00,Closed,15.0,0,I appreciate the quick response.,5
TKT-00083,CUST-1019,Billing,Refund Delay,Medium,Sarah,Chat,2025-03-08,2025-03-10 00:00:00,,Open,,2,Thanks for helping me with this issue.,5
TKT-00084,CUST-1851,Account Management,Login Issue,High,Sarah,Web Form,2025-12-30,2025-12-31 00:00:00,2025-12-30 11:00:00,Closed,11.0,0,I want to cancel if this is not resolved today.,2
TKT-00085,CUST-1078,Shipping,Login Issue,Medium,Noah,Chat,2025-08-12,2025-08-14 00:00:00,2025-08-14 11:00:00,Closed,59.0,0,I am having an issue and need assistance.,3
TKT-00086,CUST-1974,Product Support,Login Issue,Medium,Liam,Phone,2025-06-29,2025-07-01 00:00:00,2025-06-30 14:00:00,Closed,38.0,0,Thanks for helping me with this issue.,4
TKT-00087,CUST-1360,Account Management,Product Question,High,Ethan,Phone,2025-11-18,2025-11-19 00:00:00,2025-11-19 08:00:00,Closed,32.0,1,I want to cancel if this is not resolved today.,1
TKT-00088,CUST-1460,Product Support,Login Issue,Medium,Ethan,Email,2025-01-30,2025-02-01 00:00:00,2025-01-31 20:00:00,Closed,44.0,1,I would like an update on my ticket.,3
TKT-00089,CUST-1536,Product Support,Account Verification,Medium,Ethan,Chat,2025-02-01,2025-02-03 00:00:00,2025-02-03 03:00:00,Closed,51.0,1,The issue was handled well.,5
TKT-00090,CUST-1741,Product Support,Late Delivery,Medium,Priya,Web Form,2025-07-29,2025-07-31 00:00:00,2025-07-29 14:00:00,Closed,14.0,0,I am having an issue and need assistance.,4
TKT-00091,CUST-1719,Product Support,Late Delivery,Medium,Mia,Phone,2025-06-08,2025-06-10 00:00:00,2025-06-09 00:00:00,Closed,24.0,0,This is very frustrating and I need this fixed immediately.,3
TKT-00092,CUST-1079,Product Support,Login Issue,Medium,Sarah,Phone,2025-01-10,2025-01-12 00:00:00,2025-01-11 23:00:00,Closed,47.0,2,Can you check the status of my request?,3
TKT-00093,CUST-1044,Shipping,Login Issue,Medium,Ava,Phone,2025-11-13,2025-11-15 00:00:00,2025-11-15 08:00:00,Closed,56.0,1,Can you check the status of my request?,4
TKT-00094,CUST-1694,Account Management,Bug Report,Medium,Liam,Web Form,2025-11-09,2025-11-11 00:00:00,2025-11-12 08:00:00,Closed,80.0,2,Can you check the status of my request?,4
TKT-00095,CUST-1567,Product Support,Product Question,Medium,Priya,Web Form,2025-09-15,2025-09-17 00:00:00,,Open,,0,Please help me understand what happened.,4
TKT-00096,CUST-1424,Billing,Login Issue,Medium,Mia,Phone,2025-08-19,2025-08-21 00:00:00,2025-08-20 08:00:00,Escalated,32.0,0,I am having an issue and need assistance.,3
TKT-00097,CUST-1293,Billing,Payment Failure,Medium,Liam,Web Form,2025-02-11,2025-02-13 00:00:00,,Open,,1,This is very frustrating and I need this fixed immediately.,1
TKT-00098,CUST-1433,Account Management,Late Delivery,High,Ethan,Web Form,2025-11-12,2025-11-13 00:00:00,2025-11-12 05:00:00,Closed,5.0,0,I want to cancel if this is not resolved today.,3
TKT-00099,CUST-1298,Billing,Subscription Cancellation,Low,Noah,Email,2025-05-03,2025-05-06 00:00:00,2025-05-06 12:00:00,Closed,84.0,0,Can you check the status of my request?,3
TKT-00100,CUST-1894,Account Management,Refund Delay,Medium,Liam,Web Form,2025-04-06,2025-04-08 00:00:00,2025-04-10 03:00:00,Closed,99.0,2,I need help with my account.,4
TKT-00101,CUST-1045,Account Management,Refund Delay,Medium,David,Phone,2025-01-09,2025-01-11 00:00:00,2025-01-10 23:00:00,Closed,47.0,0,I am having an issue and need assistance.,3
TKT-00102,CUST-1810,Shipping,Bug Report,High,Mia,Web Form,2025-12-23,2025-12-24 00:00:00,2025-12-25 17:00:00,Closed,65.0,4,The support team has been helpful so far.,4
TKT-00103,CUST-1818,Technical Support,Refund Delay,Medium,Priya,Web Form,2025-10-06,2025-10-08 00:00:00,,Open,,0,I am having an issue and need assistance.,3
TKT-00104,CUST-1080,Shipping,Payment Failure,High,Ethan,Web Form,2025-06-23,2025-06-24 00:00:00,2025-06-25 00:00:00,Closed,48.0,2,I need help with my account.,4
TKT-00105,CUST-1043,Account Management,Late Delivery,Medium,David,Email,2025-02-10,2025-02-12 00:00:00,2025-02-11 21:00:00,Closed,45.0,0,I am having an issue and need assistance.,4
TKT-00106,CUST-1129,Shipping,Payment Failure,Medium,Ava,Email,2025-12-10,2025-12-12 00:00:00,2025-12-12 06:00:00,Escalated,54.0,0,Please help me understand what happened.,3
TKT-00107,CUST-1542,Billing,Account Verification,High,David,Phone,2025-07-16,2025-07-17 00:00:00,2025-07-19 17:00:00,Escalated,89.0,0,I want to cancel if this is not resolved today.,1
TKT-00108,CUST-1219,Shipping,Payment Failure,Medium,Priya,Chat,2025-02-28,2025-03-02 00:00:00,2025-03-01 07:00:00,Closed,31.0,1,I am having an issue and need assistance.,4
TKT-00109,CUST-1726,Product Support,Subscription Cancellation,Medium,Ethan,Chat,2025-03-04,2025-03-06 00:00:00,,Open,,0,I appreciate the quick response.,5
TKT-00110,CUST-1478,Billing,Subscription Cancellation,High,Mia,Chat,2025-07-05,2025-07-06 00:00:00,2025-07-05 19:00:00,Closed,19.0,1,I would like an update on my ticket.,4
TKT-00111,CUST-1460,Product Support,Late Delivery,Medium,Noah,Email,2025-06-08,2025-06-10 00:00:00,,Open,,2,I appreciate the quick response.,4
TKT-00112,CUST-1970,Account Management,Bug Report,Low,Mia,Chat,2025-08-10,2025-08-13 00:00:00,2025-08-14 04:00:00,Closed,100.0,0,Can you check the status of my request?,4
TKT-00113,CUST-1175,Product Support,Subscription Cancellation,High,Priya,Chat,2025-11-22,2025-11-23 00:00:00,2025-11-22 12:00:00,Closed,12.0,0,I would like an update on my ticket.,3
TKT-00114,CUST-1657,Product Support,Bug Report,High,Ava,Email,2025-02-11,2025-02-12 00:00:00,2025-02-14 05:00:00,Closed,77.0,1,Thank you for the update.,5
TKT-00115,CUST-1882,Shipping,Product Question,Low,Sarah,Phone,2025-08-21,2025-08-24 00:00:00,2025-08-21 21:00:00,Closed,21.0,1,Can you check the status of my request?,4
TKT-00116,CUST-1968,Shipping,Bug Report,Critical,Mia,Phone,2025-09-21,2025-09-21 08:00:00,2025-09-22 15:00:00,Closed,39.0,0,Thanks for helping me with this issue.,5
TKT-00117,CUST-1023,Account Management,Payment Failure,Low,Mia,Phone,2025-10-23,2025-10-26 00:00:00,2025-10-25 04:00:00,Closed,52.0,1,I am having an issue and need assistance.,4
TKT-00118,CUST-1867,Billing,Payment Failure,Medium,Liam,Chat,2025-10-26,2025-10-28 00:00:00,2025-10-27 09:00:00,Closed,33.0,3,I am having an issue and need assistance.,3
TKT-00119,CUST-1782,Billing,Payment Failure,Low,Priya,Phone,2025-07-26,2025-07-29 00:00:00,2025-07-29 08:00:00,Closed,80.0,0,Please help me understand what happened.,4
TKT-00120,CUST-1512,Product Support,Subscription Cancellation,High,Noah,Chat,2025-02-19,2025-02-20 00:00:00,2025-02-21 06:00:00,Closed,54.0,0,Thank you for the update.,5
TKT-00121,CUST-1607,Billing,Refund Delay,Low,David,Web Form,2025-09-23,2025-09-26 00:00:00,2025-09-27 00:00:00,Escalated,96.0,0,I would like an update on my ticket.,4
TKT-00122,CUST-1485,Shipping,Product Question,High,Priya,Web Form,2025-01-09,2025-01-10 00:00:00,2025-01-10 23:00:00,Escalated,47.0,1,I have contacted support multiple times and nobody has helped me.,3
TKT-00123,CUST-1428,Shipping,Account Verification,High,Ethan,Chat,2025-09-26,2025-09-27 00:00:00,2025-09-28 17:00:00,Closed,65.0,2,Please help me understand what happened.,4
TKT-00124,CUST-1559,Technical Support,Payment Failure,Medium,Sarah,Web Form,2025-02-01,2025-02-03 00:00:00,2025-02-04 21:00:00,Closed,93.0,0,Thank you for the update.,5
TKT-00125,CUST-1491,Shipping,Subscription Cancellation,Medium,Liam,Chat,2025-05-23,2025-05-25 00:00:00,,Open,,2,Please help me understand what happened.,4
TKT-00126,CUST-1490,Shipping,Subscription Cancellation,Medium,Sarah,Web Form,2025-06-26,2025-06-28 00:00:00,2025-06-27 21:00:00,Escalated,45.0,0,I am tired of waiting for a response.,3
TKT-00127,CUST-1102,Technical Support,Account Verification,High,Priya,Phone,2025-03-12,2025-03-13 00:00:00,2025-03-14 20:00:00,Closed,68.0,0,I appreciate the quick response.,5
TKT-00128,CUST-1587,Technical Support,Refund Delay,Critical,Mia,Web Form,2025-12-01,2025-12-01 08:00:00,2025-12-03 11:00:00,Closed,59.0,1,I have contacted support multiple times and nobody has helped me.,3
TKT-00129,CUST-1291,Technical Support,Refund Delay,High,Mia,Web Form,2025-04-01,2025-04-02 00:00:00,,Open,,0,I need help with my account.,4
TKT-00130,CUST-1345,Account Management,Product Question,High,Mia,Web Form,2025-05-20,2025-05-21 00:00:00,,Open,,1,I have contacted support multiple times and nobody has helped me.,3
TKT-00131,CUST-1392,Shipping,Account Verification,Low,Sarah,Web Form,2025-09-21,2025-09-24 00:00:00,2025-09-23 18:00:00,Escalated,66.0,1,I have contacted support multiple times and nobody has helped me.,2
TKT-00132,CUST-1706,Technical Support,Product Question,High,David,Phone,2025-10-26,2025-10-27 00:00:00,2025-10-27 07:00:00,Closed,31.0,0,Please help me understand what happened.,4
TKT-00133,CUST-1696,Billing,Subscription Cancellation,Medium,Liam,Chat,2025-03-10,2025-03-12 00:00:00,2025-03-11 20:00:00,Closed,44.0,3,This is very frustrating and I need this fixed immediately.,1
TKT-00134,CUST-1119,Product Support,Login Issue,Medium,David,Email,2025-10-16,2025-10-18 00:00:00,2025-10-16 15:00:00,Closed,15.0,1,Thank you for the update.,5
TKT-00135,CUST-1260,Technical Support,Product Question,Low,Ethan,Email,2025-08-21,2025-08-24 00:00:00,2025-08-23 02:00:00,Closed,50.0,1,I have contacted support multiple times and nobody has helped me.,2
TKT-00136,CUST-1912,Billing,Account Verification,Medium,Ava,Web Form,2025-06-26,2025-06-28 00:00:00,2025-06-30 09:00:00,Closed,105.0,0,The issue was handled well.,5
TKT-00137,CUST-1854,Account Management,Product Question,High,Sarah,Web Form,2025-02-11,2025-02-12 00:00:00,2025-02-12 21:00:00,Closed,45.0,5,Can you check the status of my request?,3
TKT-00138,CUST-1828,Billing,Refund Delay,Critical,Ethan,Web Form,2025-09-30,2025-09-30 08:00:00,2025-10-02 10:00:00,Closed,58.0,4,I have contacted support multiple times and nobody has helped me.,1
TKT-00139,CUST-1143,Account Management,Refund Delay,Low,Noah,Email,2025-11-01,2025-11-04 00:00:00,,Open,,0,Can you check the status of my request?,3
TKT-00140,CUST-1641,Product Support,Subscription Cancellation,Low,David,Phone,2025-05-02,2025-05-05 00:00:00,2025-05-04 02:00:00,Closed,50.0,0,Thank you for the update.,4
TKT-00141,CUST-1307,Account Management,Product Question,Low,David,Web Form,2025-09-26,2025-09-29 00:00:00,2025-09-28 04:00:00,Closed,52.0,0,Can you check the status of my request?,3
TKT-00142,CUST-1548,Technical Support,Product Question,High,Sarah,Web Form,2025-10-13,2025-10-14 00:00:00,2025-10-14 16:00:00,Closed,40.0,1,I am tired of waiting for a response.,1
TKT-00143,CUST-1764,Technical Support,Refund Delay,Medium,Ava,Email,2025-04-07,2025-04-09 00:00:00,2025-04-11 11:00:00,Closed,107.0,3,Can you check the status of my request?,3
TKT-00144,CUST-1477,Account Management,Account Verification,Medium,Liam,Web Form,2025-05-03,2025-05-05 00:00:00,2025-05-05 21:00:00,Closed,69.0,1,I am having an issue and need assistance.,4
TKT-00145,CUST-1156,Billing,Product Question,High,David,Chat,2025-07-09,2025-07-10 00:00:00,2025-07-09 14:00:00,Closed,14.0,1,Please help me understand what happened.,4
TKT-00146,CUST-1143,Technical Support,Bug Report,Low,Liam,Web Form,2025-10-09,2025-10-12 00:00:00,,Open,,1,I am tired of waiting for a response.,1
TKT-00147,CUST-1517,Product Support,Product Question,Low,Ava,Email,2025-02-08,2025-02-11 00:00:00,,Open,,0,I have contacted support multiple times and nobody has helped me.,1
TKT-00148,CUST-1514,Account Management,Bug Report,Low,Ethan,Web Form,2025-01-09,2025-01-12 00:00:00,2025-01-09 20:00:00,Closed,20.0,2,I am having an issue and need assistance.,3
TKT-00149,CUST-1578,Account Management,Late Delivery,Low,Noah,Chat,2025-05-04,2025-05-07 00:00:00,2025-05-05 12:00:00,Closed,36.0,0,Please help me understand what happened.,4
TKT-00150,CUST-1579,Technical Support,Account Verification,Medium,Noah,Email,2025-02-17,2025-02-19 00:00:00,2025-02-20 17:00:00,Closed,89.0,0,Please help me understand what happened.,4
